Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2463208,2025-01-09,2025-01-09,,"The Adam Project","The Adam Project",https://www.imdb.com/title/tt2463208/,Movie,6.7,106,2022,"Action, Adventure, Comedy, Sci-Fi",241927,2022-03-11,"Shawn Levy",,
2,tt0238784,2025-01-09,2025-01-09,,"Gilmore Girls","Gilmore Girls",https://www.imdb.com/title/tt0238784/,TV Series,8.2,44,2000,"Comedy, Drama",157252,2000-10-05,,,
3,tt10919420,2025-01-09,2025-01-09,,"Squid Game","Ojing-eo geim",https://www.imdb.com/title/tt10919420/,TV Series,8.0,60,2021,"Action, Drama, Mystery, Thriller",614056,2021-09-17,,,
4,tt0108778,2025-01-09,2025-01-09,,"Friends","Friends",https://www.imdb.com/title/tt0108778/,TV Series,8.9,22,1994,"Comedy, Romance",1125626,1994-09-22,,,
5,tt0457939,2025-01-09,2025-01-09,,"The Holiday","The Holiday",https://www.imdb.com/title/tt0457939/,Movie,7.0,136,2006,"Comedy, Romance",343942,2006-12-08,"Nancy Meyers",,
6,tt1632701,2025-01-09,2025-01-09,,"Suits","Suits",https://www.imdb.com/title/tt1632701/,TV Series,8.4,45,2011,"Comedy, Drama",503777,2011-06-23,,,
7,tt13021414,2025-01-09,2025-01-09,,"Kefaret","Kefaret",https://www.imdb.com/title/tt13021414/,TV Series,5.3,120,2020,"Drama",238,2020-11-22,,,
8,tt14577874,2025-01-09,2025-01-09,,"It's What's Inside","It's What's Inside",https://www.imdb.com/title/tt14577874/,Movie,6.6,103,2024,"Comedy, Mystery, Sci-Fi, Thriller",34847,2024-10-04,"Greg Jardin",,
9,tt30056641,2025-01-09,2025-01-09,,"Aile Çikmazi","Aile Çikmazi",https://www.imdb.com/title/tt30056641/,Movie,3.0,105,2024,"Comedy",130,2024-03-15,"Emre Bahadir Çirakoglu",,
10,tt0837562,2025-01-09,2025-01-09,,"Hotel Transylvania","Hotel Transylvania",https://www.imdb.com/title/tt0837562/,Movie,7.0,91,2012,"Animation, Adventure, Comedy, Family, Fantasy",292194,2012-09-28,"Genndy Tartakovsky",,
